year,commuter,station
2016,414166.25,상인
2017,404131.75,상인
2018,396203,상인
2019,399180.75,상인
2020,264175.25,상인
2021,284926.9091,상인
2016,94548,화원
2017,105183.3333,화원
2018,119285.75,화원
2019,124273.4167,화원
2020,88190.25,화원
2021,98310.45455,화원
2016,1125290,반월당
2017,1124656,반월당
2018,1149750,반월당
2019,1181977,반월당
2020,736557.9,반월당
2021,773512.9,반월당
2016,283784,두류
2017,280132.3333,두류
2018,267805.3333,두류
2019,268846.8333,두류
2020,166480.25,두류
2021,178452.7273,두류
2016,69506,태전
2017,68531.66667,태전
2018,69942.58333,태전
2019,71315.08333,태전
2020,51194.66667,태전
2021,57355.54545,태전
2016,659598,중앙로
2017,658232.8333,중앙로
2018,643823.0833,중앙로
2019,632552.8333,중앙로
2020,356288.1667,중앙로
2021,370395.6364,중앙로
2016,10469.25,학정
2017,9995.666667,학정
2018,9872.166667,학정
2019,10630,학정
2020,7433.916667,학정
2021,8573.272727,학정
