출고량,tax(100),date,location,type
128927,6101,2018,서울,탁주
0,0,2018,서울,약주
0,0,2018,서울,청주
1093,624,2018,서울,맥주
0,0,2018,서울,과실주
0,0,2018,서울,증류식소주
0,0,2018,서울,희석식소주
0,0,2018,서울,위스키
0,0,2018,서울,브랜디
4,7,2018,서울,일반증류주
18,39,2018,서울,리큐르
0,6,2018,서울,기타주류
2,0,2018,서울,주정
15705,656,2018,인천,탁주
2,4,2018,인천,약주
0,0,2018,인천,청주
148,29,2018,인천,맥주
0,0,2018,인천,과실주
0,0,2018,인천,증류식소주
0,0,2018,인천,희석식소주
100,1675,2018,인천,위스키
0,0,2018,인천,브랜디
1,49,2018,인천,일반증류주
0,0,2018,인천,리큐르
4806,2283,2018,인천,기타주류
0,0,2018,인천,주정
31107,1564,2018,경기,탁주
2226,2313,2018,경기,약주
14,19,2018,경기,청주
611000,471758,2018,경기,맥주
67,116,2018,경기,과실주
763,7869,2018,경기,증류식소주
262749,354149,2018,경기,희석식소주
2,92,2018,경기,위스키
1,26,2018,경기,브랜디
473,819,2018,경기,일반증류주
37,87,2018,경기,리큐르
743,1384,2018,경기,기타주류
43840,750,2018,경기,주정
32061,1866,2018,강원,탁주
4657,5256,2018,강원,약주
112,83,2018,강원,청주
169266,100330,2018,강원,맥주
65,66,2018,강원,과실주
8,23,2018,강원,증류식소주
109584,144203,2018,강원,희석식소주
0,2,2018,강원,위스키
0,4,2018,강원,브랜디
171,497,2018,강원,일반증류주
0,21,2018,강원,리큐르
18288,38028,2018,강원,기타주류
0,0,2018,강원,주정
5076,188,2018,대전,탁주
2,1,2018,대전,약주
0,0,2018,대전,청주
207,53,2018,대전,맥주
0,0,2018,대전,과실주
33,74,2018,대전,증류식소주
31101,40847,2018,대전,희석식소주
0,0,2018,대전,위스키
0,0,2018,대전,브랜디
0,2,2018,대전,일반증류주
0,0,2018,대전,리큐르
0,0,2018,대전,기타주류
0,0,2018,대전,주정
45193,2098,2018,충북,탁주
379,144,2018,충북,약주
24,11,2018,충북,청주
568735,416513,2018,충북,맥주
3116,3315,2018,충북,과실주
5,34,2018,충북,증류식소주
238948,323692,2018,충북,희석식소주
0,0,2018,충북,위스키
0,0,2018,충북,브랜디
53,193,2018,충북,일반증류주
2195,5360,2018,충북,리큐르
271,154,2018,충북,기타주류
0,0,2018,충북,주정
26299,592,2018,충남,탁주
1341,648,2018,충남,약주
1,2,2018,충남,청주
595,136,2018,충남,맥주
8,12,2018,충남,과실주
28,34,2018,충남,증류식소주
0,0,2018,충남,희석식소주
0,0,2018,충남,위스키
0,3,2018,충남,브랜디
10,57,2018,충남,일반증류주
61,126,2018,충남,리큐르
143,69,2018,충남,기타주류
0,0,2018,충남,주정
615,19,2018,세종,탁주
0,0,2018,세종,약주
0,0,2018,세종,청주
0,0,2018,세종,맥주
2,7,2018,세종,과실주
0,0,2018,세종,증류식소주
0,0,2018,세종,희석식소주
0,0,2018,세종,위스키
0,0,2018,세종,브랜디
0,0,2018,세종,일반증류주
0,1,2018,세종,리큐르
0,0,2018,세종,기타주류
0,0,2018,세종,주정
9203,437,2018,광주,탁주
0,2,2018,광주,약주
0,0,2018,광주,청주
165498,141783,2018,광주,맥주
0,0,2018,광주,과실주
0,0,2018,광주,증류식소주
0,0,2018,광주,희석식소주
0,0,2018,광주,위스키
0,0,2018,광주,브랜디
0,0,2018,광주,일반증류주
0,0,2018,광주,리큐르
0,0,2018,광주,기타주류
0,0,2018,광주,주정
9608,519,2018,광주,탁주
162,87,2018,광주,약주
17933,21359,2018,광주,청주
147601,117485,2018,광주,맥주
2607,4521,2018,광주,과실주
386,1180,2018,광주,증류식소주
29526,30763,2018,광주,희석식소주
0,0,2018,광주,위스키
0,0,2018,광주,브랜디
109,310,2018,광주,일반증류주
106,703,2018,광주,리큐르
4151,6689,2018,광주,기타주류
137990,1224,2018,광주,주정
11477,728,2018,광주,탁주
180,55,2018,광주,약주
1,2,2018,광주,청주
153,102,2018,광주,맥주
4070,8576,2018,광주,과실주
2,9,2018,광주,증류식소주
23542,28345,2018,광주,희석식소주
0,0,2018,광주,위스키
0,0,2018,광주,브랜디
177,192,2018,광주,일반증류주
240,592,2018,광주,리큐르
184,69,2018,광주,기타주류
0,0,2018,광주,주정
